순번,ID,제품군,세부 유형,브랜드,정확한 제품명,현재 판정,완제품 제조국,국내 판매 상태,대상 월령,월령 근거,KC 대상 여부,KC 인증번호,확인 플랫폼,확인일,판정·검증 사유,출처 URL,데이터 품질,누적 이력,대시보드 그룹,적용 안전제도,규제 기준 메모,사용자 판정명,재검증 상태,KC 인증상태,KC 인증일자,KC 인증변경일자,KC 인증변경사유,KC 인증구분,KC 인증기관,Safety Korea 상세 URL,KC 품목명,KC 모델명,KC 제조사,KC 수입업체,연관 인증번호,duplicateOf,canonicalProductId
120,TOY-20260729-121,완구,목욕 태엽완구,해피플레이,파닥파닥 개구리 네이비,보류,미확인 ❓,구매 기능 확인 불가,0세 이상,유아 물놀이 상품명,어린이제품 확인 필요,CB064R987-1001,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F57730366519,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F57730366519
https://search.shopping.naver.com/catalog/57730366519
https://www.safetykorea.kr/release/certSearch
https://kidzmall.kr/
https://bestreview4.mycafe24.com/%ED%95%B4%ED%94%BC%ED%94%8C%EB%A0%88%EC%9D%B4-%ED%97%A4%EC%97%84%EC%B9%98%EB%8A%94-%ED%8C%8C%EB%8B%A5%ED%8C%8C%EB%8B%A5-%EA%B0%9C%EA%B5%AC%EB%A6%AC-%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4%EC%99%84/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB064R987-1001,,,,,,,TOY-20260729-121
121,TOY-20260729-122,완구,목욕 태엽완구,해피플레이,파닥파닥 개구리 그린,보류,미확인 ❓,구매 기능 확인 불가,0세 이상,유아 물놀이 상품명·별도 SKU,어린이제품 확인 필요,CB064R987-1001,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F61107218000,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F61107218000
https://search.shopping.naver.com/catalog/61107218000
https://www.safetykorea.kr/release/certSearch
https://kidzmall.kr/
https://bestreview4.mycafe24.com/%ED%95%B4%ED%94%BC%ED%94%8C%EB%A0%88%EC%9D%B4-%ED%97%A4%EC%97%84%EC%B9%98%EB%8A%94-%ED%8C%8C%EB%8B%A5%ED%8C%8C%EB%8B%A5-%EA%B0%9C%EA%B5%AC%EB%A6%AC-%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4%EC%99%84/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB064R987-1001,,,,,,,TOY-20260729-122
122,TOY-20260729-123,완구,목욕 태엽완구,해피플레이,파닥파닥 오리 화이트 1000709728334,보류,미확인 ❓,판매 페이지 확인,0~18개월,유아 목욕놀이 상품명,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,"https://www.safetykorea.kr/release/certSearch
https://kidzmall.co.kr/
https://emart.ssg.com/item/itemView.ssg?itemId=1000709728334&siteNo=6001&salestrNo=6005
https://emart.ssg.com/item/itemView.ssg?itemId=1000553280442&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-15 중복 활성 행 삭제 병합 · TOY-20260729-124 → TOY-20260729-123,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,,,,,TOY-20260729-123
123,TOY-20260729-126,완구,목욕 태엽완구,해피플레이,귀엽다고래 오렌지,보류,미확인 ❓,판매 페이지 확인,0~35개월,유아 목욕놀이 상품명,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://www.safetykorea.kr/release/certSearch,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-126
124,TOY-20260729-127,완구,목욕 태엽완구,해피플레이,귀엽다고래 블루,보류,미확인 ❓,판매 페이지 확인,0~35개월,유아 목욕놀이 상품명·별도 SKU,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://www.safetykorea.kr/release/certSearch,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-127
125,TOY-20260729-128,완구,목욕 태엽완구,해피플레이,귀엽다고래 아기 욕조 물놀이 옵션세트,보류,미확인 ❓,판매 페이지 확인,0~35개월,아기 욕조 물놀이 상품명,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://www.safetykorea.kr/release/certSearch,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-128
126,TOY-20260729-129,완구,목욕 태엽보트,해피플레이,헤엄치는 씽씽보트 2종,보류,미확인 ❓,판매 페이지 확인,0~35개월,유아 목욕놀이 상품명,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://www.safetykorea.kr/release/certSearch,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-129
127,TOY-20260729-130,완구,목욕 태엽완구,해피플레이,파닥파닥 개구리 3종,보류,미확인 ❓,구매 기능 확인 불가,0~18개월,유아 목욕놀이 상품명·세트 SKU,어린이제품 확인 필요,CB064R987-1001,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F61107218000,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F61107218000
https://search.shopping.naver.com/catalog/61107218000
https://www.safetykorea.kr/release/certSearch
https://kidzmall.co.kr/
https://bestreview4.mycafe24.com/%ED%95%B4%ED%94%BC%ED%94%8C%EB%A0%88%EC%9D%B4-%ED%97%A4%EC%97%84%EC%B9%98%EB%8A%94-%ED%8C%8C%EB%8B%A5%ED%8C%8C%EB%8B%A5-%EA%B0%9C%EA%B5%AC%EB%A6%AC-%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4%EC%99%84/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB064R987-1001,,,,,,,TOY-20260729-130
128,TOY-20260729-131,완구,샤워 물조리개,하늘썬별,하마 스프레이 샤워 물조리개 HUANHE0268,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://www.shoppingntmall.com/display/goods/12347258,"https://www.shoppingntmall.com/display/goods/12347258
https://emart.ssg.com/item/itemView.ssg?itemId=1000524526447&siteNo=6001&salestrNo=6005
https://minishop.gmarket.co.kr/SkySunStar/List
https://minishop.gmarket.co.kr/ssgmall/List?Category=300024100&Page=1&PageSize=60&isStarDeliveryItem=False&HasDiscount=False&HasStamp=False&IsInternationalShipping=False&MaxPrice=36000&Roles=System.String%5B%5D&NeedToGetSDBrandName=True&OnlyBoughtItem=True",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-131
129,TOY-20260729-132,완구,샤워 물조리개,하늘썬별,해마 스프레이 샤워 물조리개 HUANHE0269,보류,미확인 ❓,판매 페이지 확인,0~35개월,목욕놀이 상품명·별도 SKU,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://emart.ssg.com/item/itemView.ssg?itemId=1000524984449&siteNo=6001&salestrNo=6005,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-132
130,TOY-20260729-133,완구,목욕 감각완구,먼치킨,목욕놀이 플로트 버블,보류,미확인 ❓,현재 구매 불가,4~35개월,Munchkin 공식 Float & Play Bubbles 제품 페이지에서 권장연령 4개월 이상 확인,어린이제품 안전확인 대상 여부 공식 확인 필요,미확인,Munchkin 공식 제조사 · 이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/tjcjo7Eqp8UkVQTx3DZny2cbAl916RGw/,"https://fallcent.com/product/tjcjo7Eqp8UkVQTx3DZny2cbAl916RGw/
https://www.munchkin.com/float-play-bubbles-4-pack
https://emart.ssg.com/item/itemView.ssg?itemId=1000641875960&siteNo=6001&salestrNo=6005
https://fallcent.com/product/search/?keyword=%EB%A8%BC%EC%B9%98%ED%82%A8+%EC%9A%95%EC%A1%B0+%ED%8A%B8%EB%A0%88%EC%9D%B4+%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4+%EC%9E%A5%EB%82%9C%EA%B0%90+%EC%A0%95%EB%A6%AC%ED%95%A8,+%ED%99%94%EC%9D%B4%ED%8A%B8,+1%EA%B0%9C+%ED%95%AB%EB%94%9C
https://fallcent.com/product/search/?keyword=%EB%A8%BC%EC%B9%98%ED%82%A8+%EC%9A%95%EC%A1%B0+%ED%8A%B8%EB%A0%88%EC%9D%B4+%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4+%EC%9E%A5%EB%82%9C%EA%B0%90+%EC%A0%95%EB%A6%AC%ED%95%A8+%ED%8A%B9%EA%B0%80
https://fallcent.com/product/search/?keyword=%EB%A8%BC%EC%B9%98%ED%82%A8+%EC%9A%95%EC%A1%B0+%ED%8A%B8%EB%A0%88%EC%9D%B4+%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4+%EC%9E%A5%EB%82%9C%EA%B0%90+%EC%A0%95%EB%A6%AC%ED%95%A8+%EC%BF%A0%ED%8C%A1+%ED%95%AB%EB%94%9C
https://fallcent.com/product/search/?keyword=%EB%A8%BC%EC%B9%98%ED%82%A8+%EC%9A%95%EC%A1%B0+%ED%8A%B8%EB%A0%88%EC%9D%B4+%EB%AA%A9%EC%9A%95%EB%86%80%EC%9D%B4+%EC%9E%A5%EB%82%9C%EA%B0%90+%EC%A0%95%EB%A6%AC%ED%95%A8+%EC%8B%B8%EA%B2%8C+%ED%8C%8C%EB%8A%94+%EA%B3%B3
https://www.momq.co.kr/shop/29913
https://m.gsshop.com/section/brandSect/22678?lCate=1556536",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-133
131,TOY-20260729-134,완구,목욕 종합세트,하늘썬별,행복한 친구 낚시 물뿌리개 컵 보트 목욕놀이 16P,보류,미확인 ❓,판매 페이지 확인,12~35개월,목욕놀이·낚시·컵 구성,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,https://emart.ssg.com/item/itemView.ssg?itemId=1000432600638&siteNo=6001&salestrNo=6005,추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,목욕완구,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-134
132,TOY-20260729-135,완구,오뚝이,하늘썬별,펭귄 롤리폴리 오뚜기 핑크 HUANHE0202,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26615213,"https://prod.danawa.com/info/?pcode=26615213
https://emart.ssg.com/item/itemView.ssg?itemId=1000432600897&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,오뚝이·걸음마·러닝,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,확인중,,,,TOY-20260729-135
133,TOY-20260729-136,완구,아기 리모컨,하늘썬별,베이비 아기 리모컨 HUANHE0529,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26613116,"https://prod.danawa.com/info/?pcode=26613116
https://www.safetykorea.kr/release/certSearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,베이비,,,,TOY-20260729-136
134,TOY-20260729-137,완구,아기 전화기,하늘썬별,멜로디 베이비폰 아기전화기 핑크 HUANHE0513,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26615810,"https://prod.danawa.com/info/?pcode=26615810
https://www.safetykorea.kr/release/certSearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-137
135,TOY-20260729-138,완구,아기 전화기,하늘썬별,멜로디 베이비폰 아기전화기 하늘 HUANHE0512,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26613002,"https://prod.danawa.com/info/?pcode=26613002
https://www.safetykorea.kr/release/certSearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-138
136,TOY-20260729-139,완구,아기 스마트폰,하늘썬별,베이비 터치 스마트 폰 HUANHE8001,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://m.danawa.com/index.html,"https://m.danawa.com/index.html
https://m.danawa.com/product/product.html
https://www.safetykorea.kr/release/certSearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-139
137,TOY-20260729-140,완구,아기 피아노,하늘썬별,도레미파 앵무새 아기피아노 HUANHE0532,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://www.shoppingntmall.com/display/goods/12347508,"https://www.shoppingntmall.com/display/goods/12347508
https://www.safetykorea.kr/release/certSearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-140
138,TOY-20260729-141,완구,실로폰,하늘썬별,해피 로켓 실로폰 색상랜덤 HUANHE8040,보류,미확인 ❓,구매 기능 확인 불가,12~35개월,아기체육관 카테고리·정확 월령 보강 필요,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F59695860383,"https://nid.naver.com/nidlogin.login?url=https%3A%2F%2Fsearch.shopping.naver.com%2Fcatalog%2F59695860383
https://search.shopping.naver.com/catalog/59695860383
https://emart.ssg.com/item/itemView.ssg?itemId=1000524990448&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-141
139,TOY-20260729-142,완구,도형맞추기,하늘썬별,드림 블럭 도형 맞추기 HUANHE0211,보류,미확인 ❓,현재 구매 불가,12~35개월,아기체육관 카테고리·도형맞추기,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/7wzFkgsLTItYVElcgFO90GWpC4SXBykN/,"https://fallcent.com/product/7wzFkgsLTItYVElcgFO90GWpC4SXBykN/
https://emart.ssg.com/item/itemView.ssg?itemId=1000524526377&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-142
140,TOY-20260729-143,완구,알파벳 도형맞추기,하늘썬별,드림 알파벳 블럭 도형 맞추기 HUANHE0209,보류,미확인 ❓,현재 구매 불가,18~35개월,도형맞추기·영아 후기 검증 필요,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://fallcent.com/product/7wzFkgsLTItYVElcgFO90GWpC4SXBykN/,"https://fallcent.com/product/7wzFkgsLTItYVElcgFO90GWpC4SXBykN/
https://emart.ssg.com/item/itemView.ssg?itemId=1000524983369&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-143
141,TOY-20260729-144,완구,컵쌓기,하늘썬별,파스텔 사각 컵쌓기 블록 놀이 8P HUANHE0225,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,이마트몰 SSG.COM,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26519213,"https://prod.danawa.com/info/?pcode=26519213
https://emart.ssg.com/item/itemView.ssg?itemId=1000432600701&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,소프트·쌓기·기타,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,파스텔,,,,TOY-20260729-144
